16:54:46 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 267 MB
16:54:47 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 228 MB
16:54:47 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 228 MB
16:54:48 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 205 MB
16:54:48 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 205 MB
16:54:48 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 205 MB
16:54:48 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 199 MB
16:54:48 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 199 MB
16:54:48 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 200 MB
16:54:48 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 200 MB
16:54:48 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 200 MB
16:54:48 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 200 MB
16:54:48 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 200 MB
16:54:48 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 200 MB
16:54:50 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 308 MB
16:54:50 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 308 MB
17:12:16 [Başlangıç] Managed: 2 MB | Process: 196 MB
17:12:16 [Kapak hazırlandı] Managed: 2 MB | Process: 202 MB
17:12:16 [Revizyon Tablosu hazırlandı] Managed: 2 MB | Process: 202 MB
17:12:16 [İncelenen Dökümanlar hazırlandı] Managed: 2 MB | Process: 202 MB
17:12:16 [Header/Footer hazırlandı] Managed: 3 MB | Process: 202 MB
17:12:17 [Makine görselleri eklendi] Managed: 3 MB | Process: 203 MB
17:12:17 [Otomatik tablolar eklendi] Managed: 3 MB | Process: 204 MB
17:12:18 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 3 MB | Process: 231 MB
17:12:18 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 3 MB | Process: 232 MB
17:12:19 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 3 MB | Process: 201 MB
17:12:19 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 3 MB | Process: 201 MB
17:12:19 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 3 MB | Process: 201 MB
17:12:19 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 3 MB | Process: 202 MB
17:12:19 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 3 MB | Process: 205 MB
17:12:19 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 3 MB | Process: 205 MB
17:12:19 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 3 MB | Process: 205 MB
17:12:19 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 3 MB | Process: 205 MB
17:12:19 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 3 MB | Process: 204 MB
17:12:19 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 3 MB | Process: 205 MB
17:12:19 [AltChunk ile birleştirme başlıyor] Managed: 3 MB | Process: 205 MB
17:12:21 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 3 MB | Process: 333 MB
17:12:21 [Temp dosyalar silindi (İşlem bitti)] Managed: 3 MB | Process: 333 MB
17:17:58 [Başlangıç] Managed: 1 MB | Process: 147 MB
17:17:59 [Kapak hazırlandı] Managed: 1 MB | Process: 156 MB
17:17:59 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 157 MB
17:17:59 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 157 MB
17:17:59 [Header/Footer hazırlandı] Managed: 1 MB | Process: 157 MB
17:17:59 [Makine görselleri eklendi] Managed: 1 MB | Process: 158 MB
